Location,Latitude,Longitude,Distance km
Basse-Terre,16.00N,61.44W,6970.82939175563 km
West Indies,17.20N,61.48W,6995.210084490831 km
Helsinki,60.15N,25.03E,7011.275858638889 km
Moskva,55.45N,37.35E,7014.687811515272 km
Basseterre,17.17N,62.43W,7094.559664375419 km
Ashgabat,38.00N,57.50E,7219.0326197328695 km
Road Town,18.27N,64.37W,7316.164847917316 km
Reykjavik,64.10N,21.57W,7327.259958506393 km
Charlotte Amalie,18.21N,64.56W,7335.073516365595 km
Buenos Aires,36.30S,60.00W,7363.311895201762 km
Caracas,10.30N,66.55W,7451.927042668295 km
Saint-Pierre,46.46N,56.12W,7490.175432915579 km
San Juan,18.28N,66.07W,7494.2691157399195 km
La Paz (administrative) / Sucre (legislative),16.20S,68.10W,7680.247485185347 km
Willemstad,12.05N,69.00W,7733.744636961242 km
Oranjestad,12.32N,70.02W,7846.7281946028625 km
Santo Domingo,18.30N,69.59W,7863.784110486451 km
Stanley,51.40S,59.51W,7948.850115827925 km
Kabul,34.28N,69.11E,8103.384111714505 km
Port-au-Prince,18.40N,72.20W,8139.24878617429 km
Dushanbe,38.33N,68.48E,8147.666910188526 km
Male,04.00N,73.28E,8162.040364821627 km
Santiago,33.24S,70.40W,8197.644575278362 km
Nuuk,64.10N,51.35W,8236.944450295527 km
Bogota,04.34N,74.00W,8242.748730569048 km
Tashkent,41.20N,69.10E,8275.173019084861 km
Islamabad,33.40N,73.10E,8448.250989126134 km
Kingston,18.00N,76.50W,8588.65037543126 km
Lima,12.00S,77.00W,8602.797895931595 km
Astana,51.10N,71.30E,8712.587934730185 km
Quito,00.15S,78.35W,8721.88646138479 km
Nassau,25.05N,77.20W,8725.95585659845 km
Bishkek,42.54N,74.46E,8741.498174767052 km
New Delhi,28.37N,77.13E,8755.698689972263 km
Panama,09.00N,79.25W,8836.45571251275 km
Ottawa,45.27N,75.42W,8872.163599058955 km
Washington DC,39.91N,77.02W,8905.746168340664 km
,53.00S,74.00E,8942.557454160558 km
Durham NC,36,-78.89,9013.306514412128 km
George Town,19.20N,81.24W,9096.052449095956 km
Havana,23.08N,82.22W,9219.372924337438 km
San Jose,09.55N,84.02W,9361.797771319492 km
Kathmandu,27.45N,85.20E,9540.791396793673 km
Managua,12.06N,86.20W,9604.29776577886 km
Tegucigalpa,14.05N,87.14W,9708.865741300251 km
Belmopan,17.18N,88.30W,9836.446951106502 km
San Salvador,13.40N,89.10W,9920.38038784759 km
Thimphu,27.31N,89.45E,9960.79803785708 km
North Pole,90,0,10001.965729312722 km
South Pole,-90,0,10001.965729312722 km
Guatemala,14.40N,90.22W,10041.44772637153 km
Dhaka,23.43N,90.26E,10042.684371197976 km
Yangon,16.45N,96.20E,10679.403869726808 km
Temple TX,31.1,-97.35,10714.946317937467 km
Mexico,19.20N,99.10W,10973.473472358255 km
Bangkok,13.45N,100.35E,11138.247753553207 km
Kuala Lumpur,03.09N,101.41E,11286.999944000123 km
Wheat Ridge CO,39.76,-105.08,11297.661847146517 km
Vientiane,17.58N,102.36E,11328.268301916029 km
Phnom Penh,11.33N,104.55E,11605.730638606205 km
Hanoi,21.05N,105.55E,11630.027089983205 km
Jakarta,06.09S,106.49E,11843.62400094785 km
North Rim,36.2,-112,11973.319030048928 km
Beijing,39.55N,116.20E,12229.68688321793 km
Macau,22.12N,113.33E,12413.095519637673 km
Bandar Seri Begawan,04.52N,115.00E,12792.425421917775 km
Pyongyang,39.09N,125.30E,12980.774231124778 km
Seoul,37.31N,126.58E,13164.31520443616 km
Manila,14.40N,121.03E,13352.424839024712 km
Dili,08.29S,125.34E,13905.3949473706 km
Kingston,45.20S,168.43E,14869.851109779233 km
Koror,07.20N,134.28E,14898.84564530677 km
Canberra,35.15S,149.08E,14971.359163409803 km
Wellington,41.19S,174.46E,15408.514271665315 km
Saipan,15.12N,145.45E,15879.470909895179 km
Papeete,17.32S,149.34W,16160.878130401587 km
Port Moresby,09.24S,147.08E,16245.920238236855 km
Noumea,22.17S,166.30E,17144.557796829045 km
Palikir,06.55N,158.09E,17495.40718267265 km
Honiara,09.27S,159.57E,17545.89971267176 km
Nuku'alofa,21.10S,174.00W,17582.540178214153 km
Port-Vila,17.45S,168.18E,17689.408625494525 km
Suva,18.06S,178.30E,17997.930999194316 km
Pago Pago,14.16S,170.43W,18126.00114509727 km
Apia,13.50S,171.50W,18250.075392766797 km
Funafuti,08.31S,179.13E,19080.280191841746 km
Tarawa,01.30N,173.00E,19243.980039719463 km
East,0,180,20003.931458625444 km
West,0,-180,20003.931458625444 km
